event_id,mode,sm,warp,regext_time_ns,regext_pc,regext_op,prev_time_ns,prev_pc,prev_op,next_time_ns,next_pc,next_op
356,other,1,1,785665725,0x800001b4,REGEXT,785665715,0x8000018c,VADD,785665795,0x80000190,VMUL
358,other,1,4,785665735,0x800001b4,REGEXT,785665725,0x8000018c,VADD,785665805,0x80000190,VMUL
354,other,1,5,785665705,0x800001b4,REGEXT,785665695,0x8000018c,VADD,785665775,0x80000190,VMUL
361,other,1,7,785665835,0x800001b4,REGEXT,785665825,0x8000018c,VADD,785665915,0x80000190,VMUL
362,other,1,6,785665845,0x800001b4,REGEXT,785665835,0x8000018c,VADD,785684775,0x800002b0,VLW12
359,other,1,3,785665815,0x800001b4,REGEXT,785665805,0x8000018c,VADD,785682225,0x800002b8,VSW12
363,other,1,2,785665865,0x800001b4,REGEXT,785665855,0x8000018c,VADD,785685255,0x800002b0,VLW12
360,other,1,0,785665825,0x800001b4,REGEXT,785665815,0x8000018c,VADD,785684525,0x800002b8,VSW12
365,mode2,1,5,812485845,0x800001b4,REGEXT,812485845,0x80000188,JAL,812485855,0x80000188,JAL
364,mode1,1,2,812485835,0x800001b4,REGEXT,812485785,0x80000184,BGE,812485875,0x80000188,JAL
368,mode1,1,6,812485875,0x800001b4,REGEXT,812485825,0x80000184,BGE,812485895,0x80000188,JAL
366,mode2,1,4,812485855,0x800001b4,REGEXT,812485855,0x80000188,JAL,812485865,0x80000188,JAL
369,other,1,3,812485875,0x800001b4,REGEXT,812485865,0x8000018c,VADD,812485945,0x80000190,VMUL
370,other,1,0,812485885,0x800001b4,REGEXT,812485875,0x8000018c,VADD,812485955,0x80000190,VMUL
367,other,1,7,812485855,0x800001b4,REGEXT,812485845,0x8000018c,VADD,812485925,0x80000190,VMUL
373,other,1,1,812485985,0x800001b4,REGEXT,812485975,0x8000018c,VADD,812486065,0x80000190,VMUL
374,other,1,2,812485995,0x800001b4,REGEXT,812485985,0x8000018c,VADD,812506455,0x800002b0,VLW12
371,other,1,5,812485965,0x800001b4,REGEXT,812485955,0x8000018c,VADD,812503325,0x800002b8,VSW12
375,other,1,6,812486015,0x800001b4,REGEXT,812486005,0x8000018c,VADD,812506755,0x800002b0,VLW12
372,other,1,4,812485975,0x800001b4,REGEXT,812485965,0x8000018c,VADD,812505635,0x800002b8,VSW12
377,mode2,1,5,839453295,0x800001b4,REGEXT,839453295,0x80000188,JAL,839453305,0x80000188,JAL
379,mode2,1,6,839453305,0x800001b4,REGEXT,839453305,0x80000188,JAL,839453315,0x80000188,JAL
376,mode1,1,4,839453285,0x800001b4,REGEXT,839453235,0x80000184,BGE,839453325,0x80000188,JAL
381,mode1,1,0,839453325,0x800001b4,REGEXT,839453275,0x80000184,BGE,839453345,0x80000188,JAL
385,other,1,1,839453435,0x800001b4,REGEXT,839453425,0x8000018c,VADD,839453515,0x80000190,VMUL
382,other,1,2,839453335,0x800001b4,REGEXT,839453325,0x8000018c,VADD,839453405,0x80000190,VMUL
380,other,1,3,839453325,0x800001b4,REGEXT,839453315,0x8000018c,VADD,839453395,0x80000190,VMUL
378,other,1,7,839453305,0x800001b4,REGEXT,839453295,0x8000018c,VADD,839453375,0x80000190,VMUL
384,other,1,6,839453425,0x800001b4,REGEXT,839453415,0x8000018c,VADD,839472225,0x800002b8,VSW12
386,other,1,4,839453445,0x800001b4,REGEXT,839453435,0x8000018c,VADD,839473005,0x800002b0,VLW12
