warp,time_ns,pc,inst,prev_pc,prev_inst,next_pc,next_inst,next_time_ns
0,298831355,0x800001b4,REGEXT_0x0010200b,0x8000018c,VADD_VV_0x02500357,0x800001b8,VMV_V_X_0x5e024057,298831365
5,298831365,0x800001b4,REGEXT_0x0010200b,0x8000018c,VADD_VV_0x02500357,0x800001b8,VMV_V_X_0x5e024057,298831375
1,298831385,0x800001b4,REGEXT_0x0010200b,0x8000018c,VADD_VV_0x02500357,0x800001b8,VMV_V_X_0x5e024057,298831395
5,325518045,0x800001b4,REGEXT_0x0010200b,0x80000188,JAL_0x0040006f,0x80000188,JAL_0x0040006f,325518055
0,325518055,0x800001b4,REGEXT_0x0010200b,0x80000188,JAL_0x0040006f,0x80000188,JAL_0x0040006f,325518065
7,325518055,0x800001b4,REGEXT_0x0010200b,0x8000018c,VADD_VV_0x02500357,0x800001b8,VMV_V_X_0x5e024057,325518065
6,325518035,0x800001b4,REGEXT_0x0010200b,0x80000184,BGE_0x02905e63,0x80000188,JAL_0x0040006f,325518075
3,325518075,0x800001b4,REGEXT_0x0010200b,0x8000018c,VADD_VV_0x02500357,0x800001b8,VMV_V_X_0x5e024057,325518085
2,325518075,0x800001b4,REGEXT_0x0010200b,0x80000184,BGE_0x02905e63,0x80000188,JAL_0x0040006f,325518095
4,325518085,0x800001b4,REGEXT_0x0010200b,0x8000018c,VADD_VV_0x02500357,0x800001b8,VMV_V_X_0x5e024057,325518095
5,325518165,0x800001b4,REGEXT_0x0010200b,0x8000018c,VADD_VV_0x02500357,0x800001b8,VMV_V_X_0x5e024057,325518175
0,325518175,0x800001b4,REGEXT_0x0010200b,0x8000018c,VADD_VV_0x02500357,0x800001b8,VMV_V_X_0x5e024057,325518185
1,325518185,0x800001b4,REGEXT_0x0010200b,0x8000018c,VADD_VV_0x02500357,0x800001b8,VMV_V_X_0x5e024057,325518195
6,325518195,0x800001b4,REGEXT_0x0010200b,0x8000018c,VADD_VV_0x02500357,0x800001b8,VMV_V_X_0x5e024057,325518205
2,325518215,0x800001b4,REGEXT_0x0010200b,0x8000018c,VADD_VV_0x02500357,0x800001b8,VMV_V_X_0x5e024057,325518225
3,352487055,0x800001b4,REGEXT_0x0010200b,0x80000188,JAL_0x0040006f,0x80000188,JAL_0x0040006f,352487065
0,352487065,0x800001b4,REGEXT_0x0010200b,0x80000188,JAL_0x0040006f,0x80000188,JAL_0x0040006f,352487075
5,352487065,0x800001b4,REGEXT_0x0010200b,0x8000018c,VADD_VV_0x02500357,0x800001b8,VMV_V_X_0x5e024057,352487075
6,352487045,0x800001b4,REGEXT_0x0010200b,0x80000184,BGE_0x02905e63,0x80000188,JAL_0x0040006f,352487085
1,352487085,0x800001b4,REGEXT_0x0010200b,0x8000018c,VADD_VV_0x02500357,0x800001b8,VMV_V_X_0x5e024057,352487095
2,352487085,0x800001b4,REGEXT_0x0010200b,0x80000184,BGE_0x02905e63,0x80000188,JAL_0x0040006f,352487105
4,352487095,0x800001b4,REGEXT_0x0010200b,0x8000018c,VADD_VV_0x02500357,0x800001b8,VMV_V_X_0x5e024057,352487105
3,352487175,0x800001b4,REGEXT_0x0010200b,0x8000018c,VADD_VV_0x02500357,0x800001b8,VMV_V_X_0x5e024057,352487185
0,352487185,0x800001b4,REGEXT_0x0010200b,0x8000018c,VADD_VV_0x02500357,0x800001b8,VMV_V_X_0x5e024057,352487195
7,352487195,0x800001b4,REGEXT_0x0010200b,0x8000018c,VADD_VV_0x02500357,0x800001b8,VMV_V_X_0x5e024057,352487205
6,352487205,0x800001b4,REGEXT_0x0010200b,0x8000018c,VADD_VV_0x02500357,0x800001b8,VMV_V_X_0x5e024057,352487215
2,352487225,0x800001b4,REGEXT_0x0010200b,0x8000018c,VADD_VV_0x02500357,0x800001b8,VMV_V_X_0x5e024057,352487235
5,379307205,0x800001b4,REGEXT_0x0010200b,0x80000188,JAL_0x0040006f,0x80000188,JAL_0x0040006f,379307215
4,379307215,0x800001b4,REGEXT_0x0010200b,0x80000188,JAL_0x0040006f,0x80000188,JAL_0x0040006f,379307225
7,379307215,0x800001b4,REGEXT_0x0010200b,0x8000018c,VADD_VV_0x02500357,0x800001b8,VMV_V_X_0x5e024057,379307225
2,379307195,0x800001b4,REGEXT_0x0010200b,0x80000184,BGE_0x02905e63,0x80000188,JAL_0x0040006f,379307235
3,379307235,0x800001b4,REGEXT_0x0010200b,0x8000018c,VADD_VV_0x02500357,0x800001b8,VMV_V_X_0x5e024057,379307245
6,379307235,0x800001b4,REGEXT_0x0010200b,0x80000184,BGE_0x02905e63,0x80000188,JAL_0x0040006f,379307255
0,379307245,0x800001b4,REGEXT_0x0010200b,0x8000018c,VADD_VV_0x02500357,0x800001b8,VMV_V_X_0x5e024057,379307255
5,379307325,0x800001b4,REGEXT_0x0010200b,0x8000018c,VADD_VV_0x02500357,0x800001b8,VMV_V_X_0x5e024057,379307335
4,379307335,0x800001b4,REGEXT_0x0010200b,0x8000018c,VADD_VV_0x02500357,0x800001b8,VMV_V_X_0x5e024057,379307345
1,379307345,0x800001b4,REGEXT_0x0010200b,0x8000018c,VADD_VV_0x02500357,0x800001b8,VMV_V_X_0x5e024057,379307355
2,379307355,0x800001b4,REGEXT_0x0010200b,0x8000018c,VADD_VV_0x02500357,0x800001b8,VMV_V_X_0x5e024057,379307365
6,379307375,0x800001b4,REGEXT_0x0010200b,0x8000018c,VADD_VV_0x02500357,0x800001b8,VMV_V_X_0x5e024057,379307385
5,406274655,0x800001b4,REGEXT_0x0010200b,0x80000188,JAL_0x0040006f,0x80000188,JAL_0x0040006f,406274665
6,406274665,0x800001b4,REGEXT_0x0010200b,0x80000188,JAL_0x0040006f,0x80000188,JAL_0x0040006f,406274675
7,406274665,0x800001b4,REGEXT_0x0010200b,0x8000018c,VADD_VV_0x02500357,0x800001b8,VMV_V_X_0x5e024057,406274675
4,406274645,0x800001b4,REGEXT_0x0010200b,0x80000184,BGE_0x02905e63,0x80000188,JAL_0x0040006f,406274685
3,406274685,0x800001b4,REGEXT_0x0010200b,0x8000018c,VADD_VV_0x02500357,0x800001b8,VMV_V_X_0x5e024057,406274695
0,406274685,0x800001b4,REGEXT_0x0010200b,0x80000184,BGE_0x02905e63,0x80000188,JAL_0x0040006f,406274705
2,406274695,0x800001b4,REGEXT_0x0010200b,0x8000018c,VADD_VV_0x02500357,0x800001b8,VMV_V_X_0x5e024057,406274705
5,406274775,0x800001b4,REGEXT_0x0010200b,0x8000018c,VADD_VV_0x02500357,0x800001b8,VMV_V_X_0x5e024057,406274785
6,406274785,0x800001b4,REGEXT_0x0010200b,0x8000018c,VADD_VV_0x02500357,0x800001b8,VMV_V_X_0x5e024057,406274795
1,406274795,0x800001b4,REGEXT_0x0010200b,0x8000018c,VADD_VV_0x02500357,0x800001b8,VMV_V_X_0x5e024057,406274805
4,406274805,0x800001b4,REGEXT_0x0010200b,0x8000018c,VADD_VV_0x02500357,0x800001b8,VMV_V_X_0x5e024057,406274815
0,406274825,0x800001b4,REGEXT_0x0010200b,0x8000018c,VADD_VV_0x02500357,0x800001b8,VMV_V_X_0x5e024057,406274835
6,433109595,0x800001b4,REGEXT_0x0010200b,0x80000188,JAL_0x0040006f,0x80000188,JAL_0x0040006f,433109605
5,433109605,0x800001b4,REGEXT_0x0010200b,0x80000188,JAL_0x0040006f,0x80000188,JAL_0x0040006f,433109615
0,433109605,0x800001b4,REGEXT_0x0010200b,0x8000018c,VADD_VV_0x02500357,0x800001b8,VMV_V_X_0x5e024057,433109615
