pc,count,share,mnemonic,mnemonic_set,enc_set,class,sample_line
0x80000154,8,0.00000009,ADDI,ADDI,0x80040293,OTHER,"SM 1 warp 3 0x80000154              ADDI_0x80040293 WB x[005]=0x70002000 @50005ns,1 [trace regfile.cpp:87]"
0x80000158,8,0.00000009,ADDI,ADDI,0x00040293,OTHER,"SM 1 warp 3 0x80000158              ADDI_0x00040293 WB x[005]=0x70002800 @50065ns,1 [trace regfile.cpp:87]"
0x8000015c,8,0.00000009,VADD_VX,VADD_VX,0x0222c0d7,VALU,"SM 1 warp 3 0x8000015c           VADD_VX_0x0222c0d7 mask=FFFFFFFF WB v[001]={70002900 70002904 70002908 7000290c 70002910 70002914 70002918 7000291c 70002920 70002924 70002928 7000292c 70002930 70002934 70002938 7000293c 70002940 70002944 70002948 7000294c 70002950 70002954 70002958 7000295c 70002960 70002964 70002968 7000296c 70002970 70002974 70002978 7000297c}; s1=5 s2=2 s3=1 @50145ns,1 [trace regfile.cpp:109]"
0x80000160,8,0.00000009,VMV_V_X,VMV_V_X,0x5e02c257,OTHER,"SM 1 warp 3 0x80000160           VMV_V_X_0x5e02c257 mask=FFFFFFFF WB v[004]={70002800 70002800 70002800 70002800 70002800 70002800 70002800 70002800 70002800 70002800 70002800 70002800 70002800 70002800 70002800 70002800 70002800 70002800 70002800 70002800 70002800 70002800 70002800 70002800 70002800 70002800 70002800 70002800 70002800 70002800 70002800 70002800}; s1=5 s2=0 s3=4 @50185ns,1 [trace regfile.cpp:109]"
0x80000164,8,0.00000009,ADDI,ADDI,0xc0040293,OTHER,"SM 1 warp 3 0x80000164              ADDI_0xc0040293 WB x[005]=0x70002400 @50205ns,1 [trace regfile.cpp:87]"
0x80000168,8,0.00000009,VADD_VX,VADD_VX,0x0222c157,VALU,"SM 1 warp 3 0x80000168           VADD_VX_0x0222c157 mask=FFFFFFFF WB v[002]={70002500 70002504 70002508 7000250c 70002510 70002514 70002518 7000251c 70002520 70002524 70002528 7000252c 70002530 70002534 70002538 7000253c 70002540 70002544 70002548 7000254c 70002550 70002554 70002558 7000255c 70002560 70002564 70002568 7000256c 70002570 70002574 70002578 7000257c}; s1=5 s2=2 s3=2 @50295ns,1 [trace regfile.cpp:109]"
0x8000016c,8,0.00000009,VMV_V_X,VMV_V_X,0x5e02c1d7,OTHER,"SM 1 warp 3 0x8000016c           VMV_V_X_0x5e02c1d7 mask=FFFFFFFF WB v[003]={70002400 70002400 70002400 70002400 70002400 70002400 70002400 70002400 70002400 70002400 70002400 70002400 70002400 70002400 70002400 70002400 70002400 70002400 70002400 70002400 70002400 70002400 70002400 70002400 70002400 70002400 70002400 70002400 70002400 70002400 70002400 70002400}; s1=5 s2=0 s3=3 @50345ns,1 [trace regfile.cpp:109]"
0x80000170,8,0.00000009,VSLL_VI,VSLL_VI,0x971132d7,VALU,"SM 1 warp 3 0x80000170           VSLL_VI_0x971132d7 mask=FFFFFFFF WB v[005]={00000000 00000004 00000008 0000000c 00000010 00000014 00000018 0000001c 00000020 00000024 00000028 0000002c 00000030 00000034 00000038 0000003c 00000000 00000004 00000008 0000000c 00000010 00000014 00000018 0000001c 00000020 00000024 00000028 0000002c 00000030 00000034 00000038 0000003c}; s1=2 s2=17 s3=5 @50375ns,1 [trace regfile.cpp:109]"
0x80000174,8,0.00000009,VADD_VV,VADD_VV,0x023281d7,VALU,"SM 1 warp 3 0x80000174           VADD_VV_0x023281d7 mask=FFFFFFFF WB v[003]={70002400 70002404 70002408 7000240c 70002410 70002414 70002418 7000241c 70002420 70002424 70002428 7000242c 70002430 70002434 70002438 7000243c 70002400 70002404 70002408 7000240c 70002410 70002414 70002418 7000241c 70002420 70002424 70002428 7000242c 70002430 70002434 70002438 7000243c}; s1=5 s2=3 s3=3 @50465ns,1 [trace regfile.cpp:109]"
0x80000178,8,0.00000009,VSLL_VI,VSLL_VI,0x960332d7,VALU,"SM 1 warp 3 0x80000178           VSLL_VI_0x960332d7 mask=FFFFFFFF WB v[005]={00000100 00000100 00000100 00000100 00000100 00000100 00000100 00000100 00000100 00000100 00000100 00000100 00000100 00000100 00000100 00000100 00000140 00000140 00000140 00000140 00000140 00000140 00000140 00000140 00000140 00000140 00000140 00000140 00000140 00000140 00000140 00000140}; s1=6 s2=0 s3=5 @50505ns,1 [trace regfile.cpp:109]"
0x8000017c,8,0.00000009,VADD_VV,VADD_VV,0x02428257,VALU,"SM 1 warp 3 0x8000017c           VADD_VV_0x02428257 mask=FFFFFFFF WB v[004]={70002900 70002900 70002900 70002900 70002900 70002900 70002900 70002900 70002900 70002900 70002900 70002900 70002900 70002900 70002900 70002900 70002940 70002940 70002940 70002940 70002940 70002940 70002940 70002940 70002940 70002940 70002940 70002940 70002940 70002940 70002940 70002940}; s1=5 s2=4 s3=4 @50585ns,1 [trace regfile.cpp:109]"
0x80000180,8,0.00000009,VMV_V_X,VMV_V_X,0x5e0042d7,OTHER,"SM 1 warp 3 0x80000180           VMV_V_X_0x5e0042d7 mask=FFFFFFFF WB v[005]={00000000 00000000 00000000 00000000 00000000 00000000 00000000 00000000 00000000 00000000 00000000 00000000 00000000 00000000 00000000 00000000 00000000 00000000 00000000 00000000 00000000 00000000 00000000 00000000 00000000 00000000 00000000 00000000 00000000 00000000 00000000 00000000}; s1=0 s2=0 s3=5 @50625ns,1 [trace regfile.cpp:109]"
0x80000184,256,0.00000283,BGE,BGE,0x02905e63,BR,"SM 1 warp 3 0x80000184               BGE_0x02905e63 mask=FFFFFFFF, JUMP=false @50635ns,1 [trace exec_salu.cpp:339]"
0x80000188,512,0.00000566,JAL,JAL,0x0040006f,CTRL,"SM 1 warp 3 0x80000188               JAL_0x0040006f JUMP=true, jumpTO 0x8000018c @50675ns,1 [trace exec_salu.cpp:108]"
0x8000018c,256,0.00000283,VADD_VV,VADD_VV,0x02500357,VALU,"SM 1 warp 3 0x8000018c           VADD_VV_0x02500357 mask=FFFFFFFF WB v[006]={00000004 00000004 00000004 00000004 00000004 00000004 00000004 00000004 00000004 00000004 00000004 00000004 00000004 00000004 00000004 00000004 00000005 00000005 00000005 00000005 00000005 00000005 00000005 00000005 00000005 00000005 00000005 00000005 00000005 00000005 00000005 00000005}; s1=0 s2=5 s3=6 @50785ns,1 [trace regfile.cpp:109]"
0x80000190,256,0.00000283,VMUL_VX,VMUL_VX,0x9663e3d7,VALU,"SM 1 warp 3 0x80000190           VMUL_VX_0x9663e3d7 mask=FFFFFFFF WB v[007]={00000800 00000800 00000800 00000800 00000800 00000800 00000800 00000800 00000800 00000800 00000800 00000800 00000800 00000800 00000800 00000800 00000a00 00000a00 00000a00 00000a00 00000a00 00000a00 00000a00 00000a00 00000a00 00000a00 00000a00 00000a00 00000a00 00000a00 00000a00 00000a00}; s1=7 s2=6 s3=7 @50865ns,1 [trace regfile.cpp:109]"
0x80000194,256,0.00000283,VMUL_VX,VMUL_VX,0x9664e457,VALU,"SM 1 warp 3 0x80000194           VMUL_VX_0x9664e457 mask=FFFFFFFF WB v[008]={00000800 00000800 00000800 00000800 00000800 00000800 00000800 00000800 00000800 00000800 00000800 00000800 00000800 00000800 00000800 00000800 00000a00 00000a00 00000a00 00000a00 00000a00 00000a00 00000a00 00000a00 00000a00 00000a00 00000a00 00000a00 00000a00 00000a00 00000a00 00000a00}; s1=9 s2=6 s3=8 @50905ns,1 [trace regfile.cpp:109]"
0x80000198,256,0.00000283,VMV_V_X,VMV_V_X,0x5e0044d7,OTHER,"SM 1 warp 3 0x80000198           VMV_V_X_0x5e0044d7 mask=FFFFFFFF WB v[009]={00000000 00000000 00000000 00000000 00000000 00000000 00000000 00000000 00000000 00000000 00000000 00000000 00000000 00000000 00000000 00000000 00000000 00000000 00000000 00000000 00000000 00000000 00000000 00000000 00000000 00000000 00000000 00000000 00000000 00000000 00000000 00000000}; s1=0 s2=0 s3=9 @50955ns,1 [trace regfile.cpp:109]"
0x8000019c,512,0.00000566,JAL,JAL,0x0400006f,CTRL,"SM 1 warp 3 0x8000019c               JAL_0x0400006f JUMP=true, jumpTO 0x800001dc @50935ns,1 [trace exec_salu.cpp:108]"
0x800001a0,8,0.00000009,JOIN,JOIN,0x0000205b,CTRL,"SM 1 warp 0 0x800001a0              JOIN_0x0000205b SIMTSTK receive join, stack-size=0 @866288105ns,1 [trace exec_simtstk.cpp:154]"
0x800001a4,16,0.00000018,LW,LW,0xfe412083,LSU,"SM 1 warp 0 0x800001a4                LW_0xfe412083 mask=FFFFFFFF MEMADDR 70001c00 @866288165ns,1 [trace exec_lsu.cpp:189]"
0x800001a8,8,0.00000009,ADDI,ADDI,0xfe410113,OTHER,"SM 1 warp 0 0x800001a8              ADDI_0xfe410113 WB x[002]=0x70001c00 @866288225ns,1 [trace regfile.cpp:87]"
0x800001ac,8,0.00000009,ADDI,ADDI,0x80040413,OTHER,"SM 1 warp 0 0x800001ac              ADDI_0x80040413 WB x[008]=0x70002000 @866288275ns,1 [trace regfile.cpp:87]"
0x800001b0,8,0.00000009,ADDI,ADDI,0xffc20213,OTHER,"SM 1 warp 0 0x800001b0              ADDI_0xffc20213 WB x[004]=0x00000000 @866288335ns,1 [trace regfile.cpp:87]"
0x800001b4,396,0.00000438,REGEXT,REGEXT,0x0010200b,OTHER,"SM 1 warp 3 0x800001b4            REGEXT_0x0010200b REGEXT(s3,s2,s1,d)=0,0,0,1 @50655ns,1 [trace decode.cpp:72]"
